Asthma,USA-WC(Illumina MiSeq-Paired),Italy-Milan (Saliva-Illumina MiSeq-Paired),France (Stool-Illumina MiSeq-Paired),Germany(Stool-Illumina MiSeq-Paired),India (Nasal-MinION-Single),North America- New York (Nasal-Illumina MiSeq-Paired),Japan-tokyo (Stool-Illumina MiSeq-Paired),USA Nashville (Nasal-Illumina MiSeq-Paired),China (Stool-Illumina MiSeq-Paired),Morocco_(Stool-Illumina_Miseq_Paired)
No,ERR9125928,SRR15318566,SRR17194219,SRR15175277,SRR16555257,SRR16356813,DRR328588,SRR15225256,SRR13760907,SRR14513835
No,ERR9125931,SRR15318567,SRR17194220,SRR15175278,SRR16555260,SRR16356814,DRR328590,SRR15225257,SRR13760908,SRR14513836
No,ERR9125934,SRR15318568,SRR17194221,SRR15175279,SRR16555262,SRR16356815,DRR328592,SRR15225258,SRR13760909,SRR14513837
No,ERR9125937,SRR15318569,SRR17194222,SRR15175280,SRR16555263,SRR16356816,DRR328594,SRR15225259,SRR13760910,SRR14513838
No,ERR9125940,SRR15318570,SRR17194223,SRR15175281,SRR16555265,SRR16356817,DRR328596,SRR15225260,SRR13760911
No,ERR9125943,SRR15318571,SRR17194224,SRR15175282,SRR16555267,SRR16356818,DRR328598,SRR15225261,SRR13760912
No,ERR9125946,SRR15318572,SRR17194225,SRR15175283,SRR16555269,SRR16356819,DRR328599,SRR15225262,SRR13760913
Yes,ERR9125949,SRR15318573,SRR17194226,SRR15175284,SRR16555271,SRR16356820,DRR328602,SRR15225263,SRR13760914
Yes,ERR9125952,SRR15318574,SRR17194227,SRR15175285,SRR16555272,SRR16356821,DRR328604,SRR15225264,SRR13760915
Yes,ERR9125955,SRR15318575,SRR17194228,SRR15175286,SRR16555274,SRR16356822,DRR328606,SRR15225265,SRR13760916
No,ERR9125958,SRR15318576,SRR17194229,SRR15175287,SRR16555277,SRR16356823,DRR328607,SRR15225266,SRR13760917
No ,ERR9125961,SRR15318577,SRR17194230,SRR15175288,SRR16555281,SRR16356824,DRR328609,SRR15225267,SRR13760918
No,ERR9125964,SRR15318578,SRR17194231,SRR15175289,SRR16555282,SRR16356825,DRR328610,SRR15225268,SRR13760919
No,ERR9125967,SRR15318579,SRR17194232,SRR15175290,SRR16555284,SRR16356826,DRR328612,SRR15225269,SRR13760920
No,ERR9125970,SRR15318580,SRR17194233,SRR15175291,SRR16555286,SRR16356827,DRR328613,SRR15225270,SRR13760921
No,ERR9125973,SRR15318581,SRR17194234,SRR15175292,SRR16555289,SRR16356828,DRR328615,SRR15225271,SRR13760922
No,ERR9125979,SRR15318582,SRR17194235,SRR15175293,SRR16555290,SRR16356829,DRR328617,SRR15225272,SRR13760923
Yes,ERR9125982,SRR15318583,SRR17194236,SRR15175294,SRR16555293,SRR16356830,DRR328619,SRR15225273,SRR13760924
No,ERR9125985,SRR15318584,SRR17194237,SRR15175295,SRR16555295,SRR16356831,DRR328620,SRR15225274,SRR13760925
No,ERR9125988,SRR15318585,SRR17194238,SRR15175296,SRR16555299,SRR16356832,DRR328621,SRR15225275,SRR13760926
Yes,ERR9125991,SRR15318586,SRR17194239,SRR15175297,SRR16555301,SRR16356833,DRR328622,SRR15225276,SRR13760927
Yes,ERR9125997,SRR15318587,SRR17194240,SRR15175298,SRR16555302,SRR16356834,DRR328625,SRR15225277,SRR13760928
No,ERR9126000,SRR15318588,SRR17194241,SRR15175299,SRR16555304,SRR16356835,DRR328627,SRR15225278,SRR13760929
No,ERR9126003,SRR15318589,SRR17194242,SRR15175300,SRR16555306,SRR16356836,DRR328629,SRR15225279,SRR13760930
No,ERR9126006,SRR15318590,SRR17194243,SRR15175301,SRR16555309,SRR16356837,DRR328632,SRR15225280,SRR13760931
No,ERR9126009,SRR15318591,SRR17194244,SRR15175302,SRR16555311,SRR16356838,DRR328589,SRR15225281,SRR13760932
No,ERR9126012,SRR15318592,SRR17194245,SRR15175303,SRR16555313,SRR16356839,DRR328591,SRR15225282,SRR13760933
No,ERR9126015,SRR15318593,SRR17194246,SRR15175304,SRR16555314,SRR16356840,DRR328593,SRR15225283,SRR13760934
No,ERR9126018,SRR15318594,SRR17194247,SRR15175305,SRR16555258,SRR16356841,DRR328595,SRR15225284,SRR13760935
No,ERR9126021,SRR15318595,SRR17194248,SRR15175306,SRR16555259,SRR16356842,DRR328597,SRR15225285,SRR13760936
No,ERR9126024,SRR15318596,SRR17194249,SRR15175307,SRR16555261,SRR16356843,DRR328600,SRR15225286,SRR13760937
No,ERR9126027,SRR15318597,SRR17194250,SRR15175308,SRR16555264,SRR16356844,DRR328601,SRR15225287,SRR13760938
No,ERR9126030,SRR15318598,SRR17194251,SRR15175309,SRR16555266,SRR16356845,DRR328603,SRR15225288,SRR13760939
No,ERR9126033,SRR15318599,SRR17194252,SRR15175310,SRR16555268,SRR16356846,DRR328605,SRR15225289,SRR13760940
Yes,ERR9126036,SRR15318600,SRR17194253,SRR15175311,SRR16555270,SRR16356847,DRR328608,SRR15225290,SRR13760941
No,ERR9125926,SRR15318601,SRR17194254,SRR15175312,SRR16555273,SRR16356848,DRR328611,SRR15225291,SRR13760942
No,ERR9125927,SRR15318602,SRR17194255,SRR15175313,SRR16555275,SRR16356849,DRR328614,SRR15225292,SRR13760943
No,ERR9125929,SRR15318603,SRR17194256,SRR15175314,SRR16555276,,DRR328616,SRR15225293,SRR13760944
No,ERR9125930,SRR15318604,SRR17194257,SRR15175315,SRR16555278,,DRR328618,SRR15225294,SRR13760945
Yes,ERR9125932,SRR15318605,SRR17194258,SRR15175316,SRR16555279,,DRR328623,SRR15225295,SRR13760946
No,ERR9125933,SRR15318606,SRR17194259,SRR15175317,SRR16555280,,DRR328624,SRR15225296,SRR13760947
No,ERR9125935,SRR15318607,SRR17194260,SRR15175318,SRR16555283,,DRR328626,SRR15225297,SRR13760948
